report_id,report_date,source_type,raw_text,referenced_activity_id,referenced_activity_code,expected_case
REP-021,2026-09-22,synthetic_shift_report,"Electrical Department Shift Summary:
Electrical team welded 120 meters of heavy-duty galvanized ladder cable tray support brackets along PR-101 pipe rack Tier 3 (Grid A1 to A5). Hot-dip galvanizing touch-up paint applied on field welds. QA inspection form signed.",ACT-115,ELE-115,detailed_report
REP-022,,synthetic_site_note,Rebar work ongoing for pump foundation.,ACT-009,CIV-009,missing_details
REP-023,2026-09-14,synthetic_site_note,Completed cable tray work on main pipe rack.,ACT-116,ELE-116,missing_details
REP-024,,synthetic_site_note,Impulse tubing installed for pressure transmitter in CDU area.,ACT-139,INS-139,missing_details
REP-025,2026-09-20,synthetic_site_note,Pump motor aligned.,ACT-057,MEC-057,missing_details
REP-026,2026-08-30,synthetic_site_log,Concrete pouring completed for pump foundation.,,,ambiguous_match
REP-027,2026-09-10,synthetic_site_log,Piping spool welding completed in process area.,,,ambiguous_match
REP-028,2026-09-15,synthetic_site_log,Cable pulling work done by electrical team.,,,ambiguous_match
REP-029,2026-09-18,synthetic_site_log,Transmitter calibration completed.,,,ambiguous_match
REP-030,2026-09-25,synthetic_site_log,Structural bolt torquing verified.,,,ambiguous_match
REP-031,2026-08-24,synthetic_supervisor_report,"Site supervisor reported 100% completion of concrete pouring for Column C-101 foundation F-101 (CIV-006), but QC inspector flagged honeycombing on north face requiring repair.",ACT-006,CIV-006,conflicting_info
REP-032,2026-09-09,synthetic_supervisor_report,"Piping team logged spool 24-CDU-001 erection as complete (PIP-081), however crane breakdown halted final alignment before bolting could be finished.",ACT-081,PIP-081,conflicting_info
REP-033,2026-09-14,synthetic_supervisor_report,"Mechanical log states Pump P-101A skid (MEC-055) is fully set, but civil team notes anchor bolt grouting has not been poured.",ACT-055,MEC-055,conflicting_info
REP-034,2026-09-22,synthetic_supervisor_report,"Electrical report marks 11kV cable tray laying (ELE-117) complete for Grid A1-A5, but site inspection revealed missing tray covers from Grid A3 to A5.",ACT-117,ELE-117,conflicting_info
REP-035,2026-09-28,synthetic_shift_report,Cooling Tower civil basin slab excavation and subgrade compaction completed under CIV-012.,ACT-012,CIV-012,clear_exact_match
REP-036,2026-10-02,synthetic_site_log,Substation 33kV Switchgear Panel positioning finished inside switchgear room (ELE-114).,ACT-114,ELE-114,clear_exact_match
